Deal Name,FLY Allocation
Ladybird,"250,000"
Soda Club,"250,000"
Mah-Ze-Dahr West Village,0
Raku Hanare Regulars,"250,000"
Mah-Ze-Dahr Battery Park City,0
Bin Bin Sake Williamsburg,"500,000"
Golden Swan,Hospitality Group
Rule of Thirds Williamsburg,"500,000"
Renzo Hampton Park Terrace,"500,000"
Piccolo Angolo West Village,"500,000"
Moongate Lounge Chinatown,"500,000"
Nudibranch East Village,"500,000"
Raf's SoHo,"500,000"
Sunday in Brooklyn Williamsburg,"500,000"
Burgerhead Greenwich Village,"500,000"
Moody Tongue Sushi West Village,"500,000"
Rancho Lewis NoMo,"500,000"
Brenda's Meat & Three NOPA,"500,000"
Brenda's French Soul Food Tenderloin,"500,000"
Lindens SoHo,"500,000"
Crave Sushi Bar Midtown East,"500,000"
Diner Williamsburg,"500,000"
Sereneco Greenpoint,"500,000"
"Jon & Vinny’s (Fairfax) Paid, Regulars",Hospitality Group
Sereneco Cafe,"500,000"
Altair Midtown,"500,000"
Joey Roses LES,"500,000"
Meadowsweet Williamsburg,"500,000"
Unregular Pizza Upper East Side,"500,000"
Saga SAGA,"250,000"
Benjamin Steakhouse Midtown East,"500,000"
Sea Fire Grill Regulars,"500,000"
Benjamin Prime Midtown East,"500,000"
Blue Whale Marina,"500,000"
Freemans,"250,000"
Estela,"250,000"
Jaffa Williamsburg,"500,000"
K'Far Williamsburg,"500,000"
Laser Wolf Williamsburg,"500,000"
The Standard Biergarten Meatpacking,"500,000"
"Noz Market Messaging as a Service / VIP Handling, Regulars","500,000"
Ace's Pizza Rockefeller Center,"500,000"
Ace's Pizza Williamsburg,"500,000"
Bobo,Hospitality Group
Jeffrey’s Grocery,"250,000"
Common ground Payment,"500,000"
Ketchy Shuby Soho,"500,000"
Benjamin Steakhouse Westchester Regulars,"500,000"
Greywind Hudson Yards,"1,000,000"
Bobwhite Counter Jersey City,"500,000"
Bobwhite Counter Alphabet City,"500,000"
Bobwhite Counter Long Island City,"500,000"
Bobwhite Counter Union Square,"500,000"
Porta Asbury Park,"500,000"
Upside Pizza Garment District - New Deal,"500,000"
Roey’s,Hospitality Group
Upside Pizza Midtown East - New Deal,"500,000"
Upside Pizza Greenpoint - New Deal,"500,000"
Upside Pizza - UWS - New Deal,"500,000"
Upside Pizza Chelsea - New Deal,"500,000"
Kubeh Greenwich Village,"500,000"
Rowdy Rooster Midtown,"500,000"
The Tippling House Cannonborough,"500,000"
Wayan,"250,000"
"Jon & Vinny’s (Slauson) Paid, Regulars",Hospitality Group
The Press Cannonborough,"500,000"
Escape From New York Pizza-Downtown - New Deal,"500,000"
LadyFalconCoffeeClub - New Deal (Alamo Sq),"500,000"
The Stand Union Square,"500,000"
Dhamaka Lower East Side,"500,000"
Sato Omakase Lower Nob Hill,Contract not found
Rowdy Rooster (EV),"500,000"
"Rooster & Rice (Stanyan, SF) - New Deal","500,000"
Kebabwala,"500,000"
Loring Place Greenwich Village,"250,000"
Sushi Hakko Pacific Heights,"500,000"
Dragon Horse SOMA,"500,000"
BlindPig Tenderloin,"500,000"
Ma De,"250,000"
The Roll Pacific Heights,"500,000"
Outer Heaven - New Deal,"500,000"
"Rooster & Rice (Kearny St., SF) - New Deal",Hospitality Group
Odd Sister,Contract not found
Lulla Chelsea,"500,000"
L’Apéro by 4F Brooklyn Heights,"500,000"
Sushi Hon Mission,Contract not found
Java Beach - New Deal,"500,000"
Thyme Bar Chelsea,"500,000"
Jang - New Deal,Contract not found
Laissez Faire Financial District,"500,000"
Little Original Joe's-West Portal - New Deal,"500,000"
Spygold Husdon Yards,"250,000"
Millers All Day Downtown,"500,000"
Jackdaw,Contract not found
Rudy Royale Downtown,"500,000"
Stars Restaurant Radcliffborough,"500,000"
Llama Cafe - New Deal,"500,000"
"EARTHBAR (Chestnut St, SF)",Hospitality Group
Alidoro Long Island City,"500,000"
Alidoro Dekalb Market,"500,000"
Toy Soldier Financial,"500,000"
Emily Brooklyn Clinton Hill,"500,000"
The Blue Light Pacific Heights,"500,000"
Cafe Maud / The Rhymer's Club,Contract not found
Masalawala & Sons,"500,000"
Trinity Pacific Heights,"500,000"
Rooster & Rice (Steven's Creek Blvd.) - New Deal,Hospitality Group
Semma Greenwich,"500,000"
JooDang - New Deal,Contract not found
"Rooster & Rice (Filbert, SF) - New Deal",Hospitality Group
INDO Restaurant & Lounge - New Deal,"500,000"
Millers All Day James Island,"500,000"
Mattina Mattina,"500,000"
Java Beach at the Zoo - New Deal,Hospitality Group
Joseph Leonard,"250,000"
Boto Pacific Heights,Hospitality Group
SPQR Pacific Heights,"500,000"
The Refuge Isle of Palms,"500,000"
Bleu Coffee & Tea - New Deal,Contract not found
Coffee Bar by The Refuge Isle of Palms,Hospitality Group
Isshiki East Village,"500,000"
Gotham Burger Social Club Lower East Side,"500,000"
Isa Restaurant Marina,"500,000"
Isabelle's Osteria Gramercy,"500,000"
Parcelle Greenwich Village,"500,000"
Lucky's Soho,"500,000"
"LadyFalconCoffeeClub (Wawona, SF)",Hospitality Group
Besharam Potrero Hill,"500,000"
Ristobar Marina,"500,000"
Lodi Midtown,"1,000,000"
Sullivan's Fish Camp Sullivan's Island,"500,000"
Rice Flour and Panna Dessert - New Deal,"500,000"
Basic Kitchen Downtown Charleston,"500,000"
Post House Mt. Pleasant,"500,000"
Smith & Mills Rockefeller Center,"500,000"
Naro Rockefeller Center,"500,000"
Bodega - New Deal (Pay),"500,000"
Adda,"500,000"
Sushi Sato,Contract not found
"Avotoasty (Union St., SF) - New Deal","500,000"
Bodega Downtown,"500,000"
Dashi Park Circle,"500,000"
Naks East Village,"500,000"
Le Rock Rockefeller Center,"500,000"
5 Acres Rockefeller Center,"500,000"
Gjelina NY Gjelina NY,"500,000"
Jupiter Rockefeller Center,"500,000"
Corner Bar,"250,000"
Trad Room Bedford-Stuyvesant,"500,000"
Sami & Susu Lower East Side,"500,000"
Town's End Brunch - New Deal,"500,000"
New Spot on Polk Russian Hill,"500,000"
Rocco's Sports & Recreation - New Deal,"500,000"
Bandits Diner + Dive - New Deal,"500,000"
Borrachito - New Deal,"500,000"
Bangkok Supper Club Messaging as a Service / VIP Handling,"500,000"
The Garret West,"500,000"
"Rooster & Rice (2nd St., SF) - New Deal",Hospitality Group
Little Maven Flatiron,"500,000"
Phat Thai Marina,"500,000"
Final Final Pacific Heights,"500,000"
Bus Stop Pacific Heights,"500,000"
"Saucy Asian (17th, SF) - New Deal",Contract not found
Ivan Ramen Lower East Side,"500,000"
Kellogg's Diner Williamsburg,"500,000"
Norman Rose Tavern - New Deal,"500,000"
Hoexters Upper East Side,"500,000"
Left Door Pacific Heights,"500,000"
Palette Tea House Noma,"500,000"
"Pizzalicious (Polk St., SF) - New Deal","500,000"
82 Queen French Quarter,"500,000"
Sobre Masa Bushwick,"500,000"
Malika Canteen Mt. Pleasant,"500,000"
Porchetta Shop Cannonborough,"500,000"
Fossetta Fossetta,"500,000"
Owlbear Cafe Mt. Pleasant,"500,000"
Herd Provisions East Central,"500,000"
Luce Union Square,"500,000"
Elephant Sushi Russian Hill,"500,000"
Elephant Sushi Fillmore,Hospitality Group
Collina Russian Hill,"500,000"
Graft Wine Bar Uptown Charleston,"500,000"
Seven Hills Russian Hill,"500,000"
State Bird Provisions Japantown,"500,000"
Copper Mug Coffee - New Deal,"500,000"
Sen Saigon - New Deal,"500,000"
Butcher's Daughter Nolita,"500,000"
Ma'am Saab Downtown Charleston,"500,000"
Butcher's Daughter Williamsburg,"500,000"
"Pizzalicious (Castro St., SF) - New Deal",Hospitality Group
Estadio Cannonborough,"500,000"
Oceans New York,"500,000"
Avotoasty (Bay Pl.) - New Deal,"500,000"
Butcher's Daughter Nolita - Market,"500,000"
Layla Williamsburg,"500,000"
Elena's Mexican Restaurant - New Deal,"500,000"
Perry's Pacific Heights,"500,000"
Little Original Joe's Marina,Hospitality Group
12 Matcha - New Deal,"500,000"
The Anchovy Bar Japantown,"500,000"
"EARTHBAR (Union St., SF) - New Deal","500,000"
Original Joe's North Beach,Hospitality Group
Cubby's Hells Kitchen,Hospitality Group
Two Hands Williamsburg Williamsburg,"500,000"
Florence's James Island,"500,000"
Kebab aur Sharab Kebab aur Sharab,"500,000"
Elephant Sushi (Nob Hill) - New Deal,Hospitality Group
Troya Pacific Heights,"500,000"
Slate Cafe Nomad,0
Slate Cafe Midtown,0
Slate Cafe UWS,0
8282 Lower East Side,"500,000"
Laut Laut,"500,000"
Lula Mae Fort Greene,"500,000"
Gus's Cobble Hill,"500,000"
Commodore II LES,"500,000"
Kanyakumari Union Square,"500,000"
Ariari East Village,"500,000"
"Avotoasty (California St., SF) - New Deal","500,000"
Seamore's - Dumbo,"500,000"
Sukh Fort Greene,"500,000"
Javelina Union Square,"500,000"
Colonia Verde Fort Greene,"500,000"
Roberta's Midtown,"500,000"
The Progress Japantown,"500,000"
R.Slice Midtown,"500,000"
Spinning Bones - New Deal,"500,000"
Fulgurances Greenpoint,"500,000"
Saucy Asian (Bay St.) - New Deal,Contract not found
Novita Flatiron,Hospitality Group
Chinta Thai Greenpoint,"500,000"
The Brixton Marina,"500,000"
Hazie's Hayes Valley,"500,000"
Maman Upper East Side,"500,000"
Maman Upper West Side,"500,000"
Maman Cobble Hill,"500,000"
Maman Battery Park,"500,000"
Leon's - New Deal,"500,000"
Indian Accent Indian Accent,"500,000"
Cheeky Sandwiches - New Deal,"500,000"
Veselka Williamsburg,"500,000"
Veselka East Village,"500,000"
Bonnie's Williamsburg,"500,000"
Alcove Market Harleston Village,"500,000"
Baguette Magic West Ashley,"500,000"
Venhue Lower East Side,"500,000"
Veselka Grand Central,"500,000"
Public Records - New Deal,"500,000"
Pizzalicious (Union St. SF) - New Deal,Hospitality Group
Bobbi's Italian Beef Cobble Hill,"500,000"
6restaurant.com - New Deal,"500,000"
Niku Steakhouse - September Pay,"500,000"
Hinodeya Ramen Bar Marina,"500,000"
Original Joe's-Westlake - New Deal,Hospitality Group
Hinodeya Ramen-Japantown - New Deal,"500,000"
Hinodeya Ramen-Union Square - New Deal,"500,000"
Hinodeya Ramen-Downtown - New Deal,"500,000"
Motel Morris Chelsea,0
Birdsong SOMA,"500,000"
Left Door - Passes,"500,000"
Kid - New Deal,0
Le Rivage Le Rivage,0
Elephant District Dumbo,"500,000"
Dalida Mission,"500,000"
Henry & The Lions Chelsea,0
Sagaponack Flatiron,"500,000"
Share House Downtown,"500,000"
Uptown Social Downtown,"500,000"
Javelina UES - New Deal,"500,000"
Balzem Nolita,"500,000"
The Edition - John Fraser- The Terrace - New Deal,"500,000"
The Clam - New Deal,"500,000"
Ilcha Marina,"500,000"
Octavia Pacific Heights,"500,000"
Frances The Castro,"500,000"
Tacolicious Marina,"500,000"
Tadaima - New Deal,"500,000"
Popi's Oysterette Marina,"500,000"
Tacolicious Mission,"500,000"
Mosto Mission,"500,000"
Kultura Downtown,"500,000"
La Noxe Chelsea,"500,000"
Omakase Design District,"500,000"
Okane Potrero Hill,"500,000"
Live Sushi Bar Potrero Hill,"500,000"
The Third Floor Chinatown,"500,000"
Born Thai - New Deal,"500,000"
Prelude Union Square,"500,000"
Dumpling Time Design District,"500,000"
Dumpling Time Mission Bay,"500,000"
Baguette Magic James Island,"500,000"
Inday All Day Williamsburg,"500,000"
Camino Alto Marina,"500,000"
Dumpling Time - Berkeley,Contract not found
Bar Madonna Williamsburg,"500,000"
Castro Indian Restaurant & Bar The Castro,"500,000"
Gair Dumbo,"500,000"
6 Tables Marina,"500,000"
Okaeri Japanese Bistro - New Deal,"500,000"
Restaurant Abacá - New Deal,"500,000"
WINNER in the Park Park Slope,"1,000,000"
The Commodore Williamsburg,"500,000"
WINNER Butcher Park Slope,Hospitality Group
Runner Up Park Slope,Hospitality Group
Paradiso Restaurant + Bar Park Circle,"500,000"
Dumpling Time - Santana Row (San Jose),Contract not found
The Market at Paradiso Park Circle,"500,000"
Little Owl - New Deal,"500,000"
Bar Iris Russian Hill,"500,000"
11 Tigers - New Deal,"500,000"
Market Table - New Deal,"500,000"
Wild West Village,"500,000"
Todo el Dia,"500,000"
Phoenix Palace Chinatown,"500,000"
Okane - The Butcher Shop,Contract not found
The Archer East Central,"500,000"
Berkeley’s Hampton Park Terrace,"500,000"
La Noxe Trinity - New Deal,"500,000"
Dumpling Time - Bishop Ranch (San Ramon),Contract not found
Tacolicious (Emerson St.) - New Deal,"500,000"
Little Charli Greenwich Village,"500,000"
Cha Cha Tang West Village,"500,000"
The Harlow James Island,"500,000"
Little Rascal Nolita,"500,000"
Little Rascal Greenpoint,"500,000"
Brown Dog Deli Harleston Village,"500,000"
Sightsee Hampton Park Terrace,"500,000"
Verde Avondale,Hospitality Group
Verde Belle Hall,Hospitality Group
Verde Park Circle,"500,000"
Verde MUSC Main Hospital,Hospitality Group
Verde MUSC - Ashley River Tower,"500,000"
Nisei Russian Hill,"500,000"
Verde Airport,"500,000"
White Maize (Chelsea) - New Deal,"500,000"
White Maize (Carrol Gardens) - New Deal,"500,000"
Trick Dog Mission,"500,000"
Trick Dog - New Deal-BAR BLACKBIRD,"500,000"
Clerks Downtown,"500,000"
Frannie & The Fox Downtown,"500,000"
Callie's Hot Little Biscuit Meeting Street,"500,000"
Callie's Hot Little Biscuit King Street,"500,000"
Bar Enzo Long Island City,"500,000"
The Greats of Craft LIC,"500,000"
The Greats of Craft Midtown East,"500,000"
Good Thanks Williamsburg,"500,000"
Ruffian East Village,"500,000"
Spaghetti Incident Lower East Side,"500,000"
Bar Sprezzatura Financial District,"500,000"
Bar Sprezzatura - New Deal-BAR BLACKBIRD,"500,000"
Zou Zou's Hudson Yards,"500,000"
Putnam's Pub & Cooker - New Deal,"500,000"
Twin Tails Columbus Circle,"500,000"
Bad Roman Columbus Circle,"500,000"
Meraki Williamsburg,"500,000"
Alphabet City Beer Co. Lower East Side,"500,000"
Hudson Club Midtown,"500,000"
Carriage House - New Deal,"500,000"
Kaiyo Handroll - New Deal,"500,000"
KAIYŌ Rooftop SOMA,"500,000"
Verde College of Charleston,"500,000"
Local Roots Market57,0
Novela - New Deal,"500,000"
Trevino Wine Bar,"500,000"
KAIYO ROOFTOP - BAR BLACKBIRD-New Deal,"500,000"
Verde - King Street,"500,000"
StarChild Rooftop,0
Rosevale Cocktail Bar - New Deal,"500,000"
brendasoakland.com - New Deal,"500,000"
Rosevale Kitchen Midtown,"500,000"
Wildflower Chelsea,0
Madam Mikette's - New Deal,0
Kaiyo Soma,"500,000"
Milos Meze - New Deal,"500,000"
HED 11 SOMA,"500,000"
Hank's Seafood Restaurant Radcliffborough,"500,000"
Milk & Hops Chelsea,0
Little Palm Downtown,"500,000"
The Coffee Counter French Quarter,"500,000"
Don Angie - New Deal,"500,000"
Carlotto Union Square,"500,000"
Third Falcon Fort Greene,"500,000"
Torch & Crown Brewing Company SOHO,"500,000"
The Patio Marina,"500,000"
Amarena Russian Hill,"500,000"
Wine:30 - New Deal,"500,000"
Blanca Bushwick,"500,000"
Foul Witch Alphabet City,"500,000"
Roberta's Williamsburg,"500,000"
Roberta's Bushwick,"500,000"
Lowland French Quarter,"500,000"
Kru - New Deal,"500,000"
Fan Fan Doughnuts Clinton Hill,"500,000"
Ricco Mediterranean Restaurant Marina,"500,000"
Cecilia East Village,"500,000"
Mediterranean Kitchen Burlingame - New Deal,"500,000"
Arthur and Sons West Village,"500,000"
Arthur and Sons Murray Hill,"500,000"
Falu House - New Deal,"500,000"
Fornino Greenpoint,"500,000"
Amelie Polk Gulch,"500,000"
Palm House Marina,"500,000"
Bergerac SoMa,"500,000"
Hags East Village,"500,000"
Due West West Village,"500,000"
The Test Brewery Williamsburg,"500,000"
Kitchen at Cobble Hill - New Deal,"500,000"
Nowon Bushwick - New Deal,"500,000"
Nowon - Bushwick Bushwick,"500,000"
Nowon - East Village East Village,"500,000"
Cafe Colette - New Deal,"500,000"
Breeze Greenpoint,"500,000"
Twist Bar,0
Kings of Kobe - Wagyu Kitchen & Bar Hell's Kitchen,0
Claudy's Kitchen Bronx,0
Mijo Chelsea,"500,000"
Quality Bistro - New Deal,"500,000"
Brooklyn Brewery Williamsburg,"500,000"
X-Golf Williamsburg,"500,000"
Common Country - New Deal,"500,000"
Dolly's Swing and Dive - New Deal,"500,000"
Midnights - New Deal,"500,000"
Torch & Crown Brewing Company - Craft Beer Pass,"500,000"
Quality Italian - New Deal,"500,000"
Whitechapel - New Deal,"500,000"
Moody Tongue Sushi - Craft Beer Pass,"500,000"
Porter House Columbus Circle,0
Quality Meats - New Deal,"500,000"
Good Thanks- LES - New Deal,"500,000"
Potluck Club - New Deal,"500,000"
Threes Brewing Greenpoint,"500,000"
Threes Brewing Gowanus,"500,000"
54 Mint Cucina Romana - New Deal,"500,000"
Park Gyros,"500,000"
Bettola - New Deal,"500,000"
Montesacro - Marina Marina,"500,000"
Bar Moga SoHo,"500,000"
Veranda Lounge - New Deal,"500,000"
San Sabino - New Deal,"500,000"
Montesacro Pinseria - SoMa - New Deal,"500,000"
Lewis Barbecue NoMo,"500,000"
Lume West Village,"500,000"
Smith & Wollensky - New Deal,"500,000"
Seamore's Brookfield Place,"500,000"
Gotham Burger Social Club Greenpoint,"500,000"
Strange Delight - New Deal,"500,000"
BURGERHEAD - East Village - New Deal,"500,000"
Krupa Grocery South Slope,"500,000"
Threes Brewing Huntington,"500,000"
Estancia Piola - New Deal,"500,000"
Montesacro Pinseria Brooklyn - New Deal,"500,000"
Black Seed Bagels Nolita,0
The Ox Greenpoint,"500,000"
Kokomo Greenpoint,"500,000"
Heirloom Cafe Mission,"500,000"
Hotel Delmano - New Deal,"500,000"
Binondo - New Deal,"500,000"
Arcana Mission,"500,000"
Vintage Space - New Deal,"500,000"
Itria Mission,"500,000"
Park Slope Ale House Park Slope,"500,000"
BRISCOLA TRATTORIA - New Deal,"500,000"
LaRina Pastificio & Vino - New Deal,"500,000"
Maman - 230 Park Ave,"500,000"
Bacan - New Deal,"500,000"
Roberta's Culver City - New Deal,"500,000"
Moody Tongue Pizza - New Deal,"500,000"
Center Bar Columbus Circle,0
The Bar at The Spectator - New Deal,"500,000"
Sip & Guzzle - New Deal,"500,000"
Audio San Francisco - New Deal,"500,000"
Le Petit Paris 75 - New Deal,Hospitality Group
Wild East Brewing Co. - New Deal,"500,000"
Someday Bar NYC - New Deal,"500,000"
Salad Don - New Deal,"500,000"
Don Ceviche East Village - New Deal,"500,000"
Don Ceviche Essex - New Deal,"500,000"
Cane Pazzo - New Deal,"500,000"
Seamore's - UES,"500,000"
Wabi Nori - New Deal,"500,000"
Verde Mount Pleasant,Hospitality Group
Burgers and Beer NYC - New Deal,0
Montesacro Pinseria - Walnut Creek - New Deal,"500,000"
Tio Pepe - New Deal,0
MADELINE'S - New Deal,"500,000"
HighLife - New Deal,"500,000"
Alphabet City Beer Co. - Craft Beer Pass,"500,000"
DACHA Kitchen & Bar - New Deal,"500,000"
Rocco's Sports & Recreation Noho,"500,000"
Tamarind Tribeca - New Deal,"500,000"
Kalye - Rivington,"500,000"
Kalye - Broome St,"500,000"
The Alderman Midtown,"500,000"
MáLà Project -EV- New Deal,"500,000"
MáLà Project -Greenpoint- New Deal,"500,000"
MáLà Project -Bryant Park- New Deal,"500,000"
MáLà Project -Midtown- New Deal,"500,000"
25 Lusk - New Deal,"500,000"
The Mary Lane - New Deal,"500,000"
Chambers - New Deal,"500,000"
The Cactus Shop - New Deal,"500,000"
Chouquet's - New Deal,"500,000"
NOPALITO,"500,000"
Kings County Brewers Collective - New Deal,"500,000"
Evil Twin Brewing (Dumbo) - New Deal,"500,000"
Evil Twin Brewing (Ridgewood) - New Deal,"500,000"
Flamingo Lazeaway Club - New Deal,"500,000"
Grimm Artisanal Ales - New Deal,"500,000"
Estancia 460 - New Deal,"500,000"
Hellbender Nighttime Cafe - New Deal,"500,000"
El Mansour - New Deal,"500,000"
Avenida - New Deal,"500,000"
The Rutherford - New Deal,"500,000"
Vineapple - New Deal,"500,000"
Mile End Delicatessen - New Deal,"500,000"
Tartare Worldwide Tartare Worldwide,"1,000,000"
Lillian's - New Deal,"500,000"
Lillian's - Market & Cafe,"500,000"
Blue Plate - New Deal,"500,000"
Sunday Hospitality - New Deal (clone) 2,Hospitality Group
Lobby Bar at Hotel Chelsea,Hospitality Group
Sunday Hospitality - New Deal (clone) 6,Hospitality Group
Bedford Post Tavern,Hospitality Group
El Quijote,Hospitality Group
Cafe Chelsea,Hospitality Group
Suprema Provisions - New Deal,0
Elixir - New Deal,"500,000"
ZOË - New Deal,"500,000"
Bar Verde - New Deal,"500,000"
Philosophers & Fools - New Deal,"500,000"
carminestreetbeers.com - New Deal,"500,000"
The Edition - John Fraser- Paradise Club - New Deal,"500,000"
Ferdi - New Deal,"500,000"
Aura Bar & Kitchen - New Deal,"500,000"
Huriyali Gardens (Downtown),"500,000"
Huriyali Riverland - New Deal,"500,000"
The Edition - John Fraser- Lobby Bar - New Deal,"500,000"
District San Francisco - New Deal,"500,000"
Patisserie Fouet Midtown,0
Il Corallo Trattoria - New Deal,"500,000"
Beer Street - New Deal,"500,000"
Hearty and Healthy - New Deal,"500,000"
Thief NYC - New Deal,"500,000"
5ive Spice- Nolita - New Deal,"500,000"
5ive Spice- Grammercy - New Deal,"500,000"
Bodega SF - New Deal,"500,000"
Maman - 3 West 18th St,"500,000"
The Felix - New Deal,"500,000"
Peck Slip Social- New Deal,"500,000"
Dalila's - New Deal,"500,000"
Marseille,"500,000"
Nizza,"500,000"
French Roast,"500,000"
Nice Matin,"500,000"
Le Monde,"500,000"
Acadia,"500,000"
Playa Betty's,"500,000"
Souvla Mission,Contract not found
Cafe D'Alsace,"500,000"
Souvla Marin Country Mart,Contract not found
Maman - 239 Centre St,"500,000"
Debajo - New Deal,"500,000"
Five Napkin Burger UWS,"500,000"
Monterey,"500,000"
Five Napkin Burger Midtown,"500,000"
Souvla Dogpatch,Contract not found
Arvine - New Deal,"500,000"
Dagon,"500,000"
The Friki Tiki,"500,000"
Rolo's - New Deal,"500,000"
Sempre Oggi,"500,000"
Barbounia,"500,000"
Madison Maison (new opening) - New Deal,"500,000"
Ritual - New Deal,"500,000"
Sunday Hospitality - New Deal,"500,000"
Cross Bar - New Deal,"500,000"
Bee's Knees & Honey Lounge - New Deal,"500,000"
Pineapple Club - New Deal,"500,000"
Good Bar - New Deal,"500,000"
District Oak - New Deal,"500,000"
Gola Tunisian Restaurant & Bar- New Deal,"500,000"
Radio Bakery (Prospect Heights)- New Deal,"500,000"
TALEA Beer Co. - Penn District,"500,000"
